variance	variance_mc	inverse_trace	inverse_trace_mc	log_det	log_det_mc	eigenvalues	num_eigenvalues	n_tasks	combination	n_unique	combination_tuple	cos
0.03802098297338023	0.026783754101826394	-1027.5175803672366	-721.4619101043766	-20.404252164337315	-15.210239469658832	[0.017247392326046964, 0.007659953416533263, 0.0018764083592461675]	3	4	(1, 8, 13, 20)	4	(1, 8, 13, 20)	0.8643607883699661
0.04530099719372102	0.034509704930021944	-646.4102585279909	-476.3911407869241	-19.198407098743186	-14.309298045891316	[0.023040367228274065, 0.008264032293146473, 0.003205305408601399]	3	4	(2, 9, 14, 24)	4	(2, 9, 14, 24)	0.8962990223170504
0.0200961648605011	0.01360082221504752	-3958.900720768199	-3611.656015288706	-23.381914501734556	-18.175226756482346	[0.008089383019445652, 0.005208043577685691, 0.0003033956179161782]	3	4	(0, 22, 25, 26)	4	(0, 22, 25, 26)	0.9410685524260077
0.03303894975116661	0.02706278989170223	-815.6433808867582	-589.5710099618876	-20.41931776621299	-15.066160429682032	[0.01895355284848578, 0.005209434152268615, 0.0028998028909478367]	3	4	(5, 18, 21, 27)	4	(5, 18, 21, 27)	0.8216237473220419
0.03077221255066313	0.024019552411282587	-713.6426249152888	-501.11997910668043	-20.094194106428084	-14.947554169595277	[0.014297608416550846, 0.00590099947464323, 0.0038209445200885106]	3	4	(0, 12, 20, 21)	4	(0, 12, 20, 21)	0.9712176977079033
0.04763363689839571	0.03463359672347682	-941.2682363837688	-829.0508509128774	-19.471346574190456	-14.92595450935104	[0.023694429241441037, 0.009471309498707827, 0.0014678579833279548]	3	4	(13, 14, 17, 20)	4	(13, 14, 17, 20)	0.828317726319197
0.02958981640236218	0.022527787694841536	-749.4985008034496	-570.6292366828684	-20.24772689633045	-15.192071282057354	[0.012839867323174312, 0.006794062474020771, 0.0028938578976464525]	3	4	(1, 12, 22, 28)	4	(1, 12, 22, 28)	0.8732912901110045
0.04383415888297987	0.03322498420765221	-972.0635844025069	-647.9793985655007	-20.44209627513858	-15.02362167329644	[0.026294737919164885, 0.004268284725659092, 0.002661961562828227]	3	4	(9, 17, 18, 25)	4	(9, 17, 18, 25)	0.8083610988249182
0.033895573178826056	0.030143920748017434	-835.2867183499063	-490.75376090240457	-20.333572225220475	-14.551399550700786	[0.019196370041316562, 0.00771106113821407, 0.0032364895684868014]	3	4	(6, 9, 12, 19)	4	(6, 9, 12, 19)	0.8107439734623205
0.03307974563183431	0.0234639722419562	-663.0919855937755	-501.91106531664275	-19.877304125078552	-14.964263608551983	[0.013278822710226675, 0.006527608301932536, 0.003657541229796991]	3	4	(7, 14, 17, 22)	4	(7, 14, 17, 22)	0.8427711784045441
0.055545726960487214	0.040882402440842715	-633.336740795952	-523.452733139382	-18.708334702252046	-14.21133882703597	[0.029825429806005728, 0.008356104385271016, 0.0027008682495659646]	3	4	(17, 18, 20, 28)	4	(17, 18, 20, 28)	0.8000229260900937
0.046948004560298115	0.024007864947568687	-835.6162384633599	-666.9539943638562	-19.670531145305546	-15.31725572924027	[0.015196668199217493, 0.0065855214256375786, 0.0022256753227136144]	3	4	(15, 16, 19, 22)	4	(15, 16, 19, 22)	0.8468732053392579
0.037903724418681256	0.024561376050642663	-564.2580010853865	-486.3373295929874	-19.20365280982868	-14.869520436863716	[0.014568263340979784, 0.006016923226122966, 0.003976189483539912]	3	4	(12, 13, 14, 15)	4	(12, 13, 14, 15)	0.8956170484105597
0.03781322568295131	0.03404984612785104	-879.136965245229	-563.9886580731002	-20.215583132261997	-14.527449034243098	[0.02290112796019965, 0.008680310280122913, 0.0024684078875284758]	3	4	(0, 9, 19, 28)	4	(0, 9, 19, 28)	0.8123581682409995
0.03954962353581724	0.034778315676158564	-1173.753780068673	-842.8539053633338	-20.50559528644435	-14.92239067365702	[0.023536559282914184, 0.00980997313383889, 0.0014317832594054906]	3	4	(5, 11, 19, 28)	4	(5, 11, 19, 28)	0.8003610233306815
