variance	variance_mc	inverse_trace	inverse_trace_mc	log_det	log_det_mc	eigenvalues_pre	eigenvalues	num_eigenvalues	n_tasks	combination	n_unique	combination_tuple	cos
0.08811663951463095	0.07378104589762144	-1000000003026.7695	-2000000002468.4355	-63.99561018469413	-86.53242034677709	[0.05106659201919199, 0.0141121227333542, 0.01146116307979497, 0.005973488975856042, 0.0027575669561477234, 0.0022099527730159666, 0.0005357529762700549, 1e-12]	[0.04659509287348827, 0.01251159663210949, 0.007908858477270655, 0.003802005063730001, 0.002316631981855916, 0.0006468608671671009, 1e-12, 1e-12]	8	8	(3, 14, 16, 17, 19, 21, 28, 28)	7	(3, 14, 16, 17, 19, 21, 28, 28)	0.79258008536323
0.09073117502462835	0.0824910000426867	-2237.1724533953156	-1000000001657.9198	-40.32479710088845	-62.24957345248901	[0.03889045673239239, 0.018110017415364135, 0.011949232956263232, 0.009330649689611135, 0.006431454475339515, 0.0031103260172966776, 0.0018559311090745928, 0.0010531066292866695]	[0.038340309055746286, 0.016762168493517814, 0.009415226392546118, 0.00854470058593167, 0.005812947901723124, 0.002250617763336089, 0.0013650298488855873, 1e-12]	8	8	(0, 1, 8, 12, 15, 16, 23, 26)	8	(0, 1, 8, 12, 15, 16, 23, 26)	0.7847541955551138
0.0558120392230981	0.050347932561773355	-1000000001381.4823	-2000000001102.5742	-63.24326826052591	-85.46414319551438	[0.023250388403041528, 0.009167311160788892, 0.006972363325026751, 0.005888565379750267, 0.004600279924099318, 0.0035230294328118523, 0.0024101015965794907, 1e-12]	[0.02318940915929813, 0.009037952588128678, 0.006246238702890187, 0.004979452965632124, 0.003843118086804209, 0.0030517610570200224, 1e-12, 1e-12]	8	8	(1, 7, 13, 14, 21, 21, 26, 28)	7	(1, 7, 13, 14, 21, 21, 26, 28)	0.8411528037987464
0.08650794779484106	0.07556102191801452	-1000000001105.0714	-2000000000928.4038	-60.96954323316949	-83.64478348164954	[0.034470340025508514, 0.022571219087516827, 0.010753057322980389, 0.006651316923158755, 0.005366789650723778, 0.0036415504583181915, 0.0030536743256345932, 1e-12]	[0.031187226742221397, 0.022030501665773777, 0.008907145759813077, 0.006515425511194128, 0.0038447822618626905, 0.0030759399751494575, 1e-12, 1e-12]	8	8	(2, 3, 4, 4, 8, 12, 15, 27)	7	(2, 3, 4, 4, 8, 12, 15, 27)	0.8612081285739476
0.061850956397910765	0.05449290593985259	-1000000001145.1244	-2000000000908.837	-62.09472582156483	-84.51352016402579	[0.02234002578175673, 0.009552958026558658, 0.008653188136869943, 0.008171419823100151, 0.006485787998119791, 0.0035069929748547195, 0.003140583655650772, 1e-12]	[0.021594200119484753, 0.008921449058957073, 0.008465910227586063, 0.007197846419166493, 0.004811525357578807, 0.0035019747550794054, 1e-12, 1e-12]	8	8	(0, 12, 15, 20, 21, 21, 27, 28)	7	(0, 12, 15, 20, 21, 21, 27, 28)	0.8508325329429772
0.07351349826315232	0.06332319808525212	-3756.1783177368116	-1000000003469.9375	-42.01699467678762	-64.50481040262062	[0.0260138669963537, 0.015025007306971308, 0.013943291365223952, 0.00826793327464473, 0.004612601433729213, 0.0030601268837600636, 0.0021836684540301327, 0.00040700254843921695]	[0.024358938147761883, 0.015019403786701179, 0.011347561839831542, 0.005371796749715515, 0.004407670249424034, 0.0024090024790666318, 0.000408824831751336, 1e-12]	8	8	(1, 2, 5, 8, 9, 10, 20, 25)	8	(1, 2, 5, 8, 9, 10, 20, 25)	0.8512599600166323
0.08701168939233642	0.08004138812154478	-1000000001573.0209	-2000000000853.4263	-61.827471043280966	-83.23206659377308	[0.034511138853117476, 0.02571284119497609, 0.010122603785815537, 0.006488175984804022, 0.005408559518333592, 0.0034872884582555336, 0.001281081596034168, 1e-12]	[0.03388618023317563, 0.022024214684815305, 0.009943561239379188, 0.006072831101547701, 0.0048649168058871135, 0.003249684054739845, 1e-12, 1e-12]	8	8	(0, 3, 3, 11, 21, 23, 27, 28)	7	(0, 3, 3, 11, 21, 23, 27, 28)	0.8621337658644714
0.08654686165649286	0.08337478777721789	-1966.225671180205	-1000000001466.8081	-40.680329853741924	-62.20304814522257	[0.036705797258217744, 0.023592329526791845, 0.009503868057898643, 0.0061442632592069715, 0.003388749088137925, 0.0032413308159982943, 0.0022453176571555706, 0.0017252059930858608]	[0.03648167129556232, 0.023442426100056552, 0.00885028212548977, 0.00614280310765614, 0.003347779355122008, 0.0031145068736373356, 0.001995318918693771, 1e-12]	8	8	(7, 8, 9, 10, 15, 19, 23, 26)	8	(7, 8, 9, 10, 15, 19, 23, 26)	0.7849578938436338
0.064413587589501	0.057543033475947344	-1000000001915.389	-2000000001677.0334	-63.222696871196554	-85.72320976464081	[0.024972183039397598, 0.013934725595137122, 0.009747456935515889, 0.006195634606774151, 0.005397545538749076, 0.0032067897678455808, 0.0009592521050815783, 1e-12]	[0.024917648232619313, 0.013132921712680384, 0.009627821902348998, 0.005569501550502132, 0.0032653783839397595, 0.0010297616918567545, 1e-12, 1e-12]	8	8	(1, 3, 10, 11, 12, 17, 22, 22)	7	(1, 3, 10, 11, 12, 17, 22, 22)	0.8297290381635772
0.09932823479390414	0.08404801354670863	-2724.948467132729	-1000000002408.5662	-40.35730703123846	-62.88702694844637	[0.048538852326792316, 0.017069797966200093, 0.011439431458744705, 0.009771486668920361, 0.00548079844108933, 0.004176040753702481, 0.0022204035880902537, 0.000631423590364591]	[0.0401592518978212, 0.01509498191395517, 0.011433014226271056, 0.009681177975166938, 0.004739030057617906, 0.0022619210893427993, 0.0006786363855335623, 1e-12]	8	8	(1, 4, 15, 16, 17, 19, 20, 24)	8	(1, 4, 15, 16, 17, 19, 20, 24)	0.8020259771285608
0.0714419538642259	0.06423965516497426	-2638.0756409425167	-1000000002225.556	-42.117715178522786	-64.00840175911353	[0.029412434794209824, 0.014710368007378153, 0.011535277755860605, 0.007240533732796745, 0.0033286292298494117, 0.0023331977628336794, 0.0019453934040855293, 0.0009361191772119467]	[0.026725507961126656, 0.013514714626960108, 0.011034837609079978, 0.007039292135169569, 0.0030002325187803696, 0.001962154048784984, 0.0009629162640725962, 1e-12]	8	8	(9, 12, 13, 18, 20, 22, 24, 25)	8	(9, 12, 13, 18, 20, 22, 24, 25)	0.7908518940063615
0.14436723105951008	0.1036068441004885	-3000000000601.0967	-3000000068809.1084	-104.01905423028549	-110.2833375325454	[0.09833029352569103, 0.02251167046488756, 0.011171220711208853, 0.009511999574393795, 0.0028420467803288462, 1e-12, 1e-12, 1e-12]	[0.0659379853392247, 0.021749845185960837, 0.00952853185548001, 0.006375880230044084, 1.4601486778871145e-05, 1e-12, 1e-12, 1e-12]	8	8	(2, 5, 6, 21, 23, 23, 23, 28)	6	(2, 5, 6, 21, 23, 23, 23, 28)	0.8434780694199905
0.12082804099138506	0.10106351263210397	-3980.2407822170453	-1000000003496.4318	-42.12362161146071	-64.48222621941325	[0.06438789921131528, 0.03316780256390607, 0.01037936347005319, 0.005401026756763278, 0.0037716773767737695, 0.0022460072084104477, 0.0009429790467914211, 0.0005312853573716084]	[0.05482368619526155, 0.030077959954533398, 0.006385980622900832, 0.004663129667574469, 0.003510764710595974, 0.0010602469942384554, 0.0005417444859992981, 1e-12]	8	8	(13, 16, 17, 18, 19, 23, 25, 28)	8	(13, 16, 17, 18, 19, 23, 25, 28)	0.7691723714754266
0.09983394847934281	0.09260549624177972	-3872.973654871875	-1000000003099.8822	-41.81778849544021	-63.259595684826635	[0.04008834480763976, 0.031755594548313115, 0.012340081858933006, 0.006858238264754028, 0.004813774345543806, 0.002224270575767844, 0.0012900858885781727, 0.00046355818981307415]	[0.03961184528247557, 0.02840502644041182, 0.011667497265670857, 0.0057706660338034755, 0.004747812397356391, 0.0019142259437801663, 0.0004884228772814192, 1e-12]	8	8	(6, 18, 19, 20, 23, 24, 26, 27)	8	(6, 18, 19, 20, 23, 24, 26, 27)	0.7800058200912453
0.054389425826547114	0.041157655247641874	-2000000001538.9736	-3000000001396.2803	-85.76667697231085	-108.75300065892333	[0.021945095114763894, 0.01501964292165922, 0.007253861802452101, 0.0051388728197279574, 0.003832074651961612, 0.0011998785139823286, 1e-12, 1e-12]	[0.0191529057419271, 0.011142849159511277, 0.0054556712617298084, 0.0042061570177988165, 0.0012000720636748724, 1e-12, 1e-12, 1e-12]	8	8	(0, 0, 3, 9, 10, 11, 11, 25)	6	(0, 0, 3, 9, 10, 11, 11, 25)	0.9386328353404506
