n_task	metric	iteration	corr
3	inverse_trace_mc	0	0.1802552118459218
3	inverse_trace_mc	1	0.1833063843038734
3	inverse_trace_mc	2	0.1733929290824765
3	inverse_trace_mc	3	0.21979210733037396
3	inverse_trace_mc	4	0.16312907461336928
4	inverse_trace_mc	0	0.16226445482165275
4	inverse_trace_mc	1	0.07041797221705193
4	inverse_trace_mc	2	0.15993212210598834
4	inverse_trace_mc	3	0.18883971216917292
4	inverse_trace_mc	4	0.3590938985185962
5	inverse_trace_mc	0	0.14924173637949864
5	inverse_trace_mc	1	0.34913535905230864
5	inverse_trace_mc	2	0.3338442903349967
5	inverse_trace_mc	3	0.23816613273197523
5	inverse_trace_mc	4	0.13693795705277892
6	inverse_trace_mc	0	0.41061392552480264
6	inverse_trace_mc	1	0.2640270377692607
6	inverse_trace_mc	2	0.3221923545643319
6	inverse_trace_mc	3	0.2683187030085725
6	inverse_trace_mc	4	0.21487679426752873
7	inverse_trace_mc	0	0.15100073635251865
7	inverse_trace_mc	1	0.24863495663836385
7	inverse_trace_mc	2	0.4026176565552103
7	inverse_trace_mc	3	0.18294448186397658
7	inverse_trace_mc	4	0.3792388882277632
8	inverse_trace_mc	0	0.13388162216986432
8	inverse_trace_mc	1	0.18596119139329007
8	inverse_trace_mc	2	0.2851615238805911
8	inverse_trace_mc	3	0.24170601955584067
8	inverse_trace_mc	4	0.2690767653553542
9	inverse_trace_mc	0	-0.01309717260852937
9	inverse_trace_mc	1	0.3330574387117411
9	inverse_trace_mc	2	0.0219914830236499
9	inverse_trace_mc	3	0.1243008072775393
9	inverse_trace_mc	4	0.21819325984972868
10	inverse_trace_mc	0	0.27555264116021605
10	inverse_trace_mc	1	0.19133061143888727
10	inverse_trace_mc	2	0.36992359622832527
10	inverse_trace_mc	3	0.15894567391353484
10	inverse_trace_mc	4	0.18414993853270656
12	inverse_trace_mc	0	0.10165591185873532
12	inverse_trace_mc	1	0.15937313495308242
12	inverse_trace_mc	2	0.0632173185205387
12	inverse_trace_mc	3	0.16525125314840372
12	inverse_trace_mc	4	0.2343358630897687
14	inverse_trace_mc	0	0.11010995360372974
14	inverse_trace_mc	1	0.24001920359675505
14	inverse_trace_mc	2	0.2040214638878185
14	inverse_trace_mc	3	0.3754750288181153
14	inverse_trace_mc	4	0.2647958323432522
16	inverse_trace_mc	0	0.3926346991523054
16	inverse_trace_mc	1	0.2668827868965538
16	inverse_trace_mc	2	0.2909799307966795
16	inverse_trace_mc	3	0.17687323976611857
16	inverse_trace_mc	4	0.2572381130555384
