n_task	metric	cos_err	iteration	roi	n_parcel
3	random	[0.7894735336303711, 0.7515223622322083, 0.8814211487770081, 0.7178330421447754, 0.8624215722084045, 0.757660984992981, 0.6862197518348694, 0.7470468282699585, 0.8773881793022156, 0.7678371667861938, 0.6526114344596863, 0.741158127784729, 0.6589270830154419, 0.8268818259239197, 0.8625180721282959, 0.6810692548751831, 0.7567886710166931, 0.7641170620918274, 0.7474314570426941, 0.7081272006034851, 0.8148793578147888, 0.8377677202224731, 0.833593487739563, 0.8031014800071716]	0	all	24
3	variance	[0.8684273958206177, 0.841145396232605, 0.8734976649284363, 0.7705121636390686, 0.8560351133346558, 0.7890909314155579, 0.7191828489303589, 0.8215308785438538, 0.8833678364753723, 0.8700715899467468, 0.7069004774093628, 0.7813766598701477, 0.7092939019203186, 0.8678639531135559, 0.9099135398864746, 0.7714492678642273, 0.7828102707862854, 0.7863425612449646, 0.7575912475585938, 0.7667497992515564, 0.8384850025177002, 0.8376086354255676, 0.8704025149345398, 0.8022468686103821]	0	all	24
3	variance_mc	[0.840523362159729, 0.8045108318328857, 0.8674198389053345, 0.8107975125312805, 0.8536330461502075, 0.7756311893463135, 0.6965227723121643, 0.7568774223327637, 0.8675384521484375, 0.8119255900382996, 0.6816266775131226, 0.7508472204208374, 0.6885969042778015, 0.8249810934066772, 0.889180064201355, 0.7513453960418701, 0.8123809695243835, 0.784972608089447, 0.7713696956634521, 0.7790746092796326, 0.8391215205192566, 0.8363991379737854, 0.8706620931625366, 0.8037315607070923]	0	all	24
3	log_det_mc	[0.8309939503669739, 0.8045789003372192, 0.8659716248512268, 0.816513180732727, 0.8656548261642456, 0.7841565608978271, 0.711765468120575, 0.7647190093994141, 0.8782563805580139, 0.8148653507232666, 0.66997891664505, 0.7799177765846252, 0.6945282816886902, 0.824138879776001, 0.9118421077728271, 0.7566734552383423, 0.7905306816101074, 0.7955644726753235, 0.7786502838134766, 0.7767286896705627, 0.8357899188995361, 0.8445125222206116, 0.8679632544517517, 0.8057471513748169]	0	all	24
3	inverse_trace_mc	[0.8278343677520752, 0.8060010671615601, 0.8656987547874451, 0.8159024715423584, 0.862454354763031, 0.7805898785591125, 0.6998379230499268, 0.7627369165420532, 0.8702905774116516, 0.8179435729980469, 0.674229621887207, 0.7883395552635193, 0.6825767755508423, 0.8363286256790161, 0.8883851170539856, 0.7641075849533081, 0.7999930381774902, 0.7948446273803711, 0.7746960520744324, 0.7735402584075928, 0.8293835520744324, 0.8387482762336731, 0.868049144744873, 0.807112991809845]	0	all	24
3	random	[0.8090148568153381, 0.8288655281066895, 0.8434498906135559, 0.7791451811790466, 0.8501125574111938, 0.8087319135665894, 0.7324537038803101, 0.7651371359825134, 0.8908056616783142, 0.8243942856788635, 0.7279727458953857, 0.7674969434738159, 0.7453383803367615, 0.9423585534095764, 0.9362928867340088, 0.725411593914032, 0.9066389799118042, 0.8033764362335205, 0.7879339456558228, 0.8355430960655212, 0.8105384707450867, 0.8073214292526245, 0.9037764072418213, 0.8641905188560486]	1	all	24
3	variance	[0.8684273958206177, 0.841145396232605, 0.8734976649284363, 0.7705121636390686, 0.8560351133346558, 0.7890909314155579, 0.7191828489303589, 0.8215308785438538, 0.8834006786346436, 0.8700715899467468, 0.7069004774093628, 0.7813766598701477, 0.7092939019203186, 0.8678639531135559, 0.9099135398864746, 0.7714492678642273, 0.7828102707862854, 0.7863425612449646, 0.7575912475585938, 0.7667497992515564, 0.8384850025177002, 0.8376086354255676, 0.8704025149345398, 0.8022468686103821]	1	all	24
3	variance_mc	[0.8292909860610962, 0.7842132449150085, 0.8656483888626099, 0.8185020089149475, 0.8507428169250488, 0.7755765318870544, 0.6946821808815002, 0.7590680122375488, 0.868816614151001, 0.813244640827179, 0.6628115773200989, 0.7808974981307983, 0.7138931155204773, 0.853956937789917, 0.8844721913337708, 0.7586125135421753, 0.8049928545951843, 0.8212372064590454, 0.7700732946395874, 0.7668097615242004, 0.8298742175102234, 0.8316006064414978, 0.86268550157547, 0.8030478954315186]	1	all	24
3	log_det_mc	[0.835264265537262, 0.7800679206848145, 0.8501997590065002, 0.8133636116981506, 0.8629379868507385, 0.7791834473609924, 0.7059595584869385, 0.7501171231269836, 0.8793465495109558, 0.8134763240814209, 0.6748737692832947, 0.7709476947784424, 0.6918066143989563, 0.8308359384536743, 0.8809597492218018, 0.7492533326148987, 0.8069676160812378, 0.7945882081985474, 0.7746520042419434, 0.773411214351654, 0.8242809176445007, 0.8349889516830444, 0.8699997067451477, 0.8005098104476929]	1	all	24
3	inverse_trace_mc	[0.839617908000946, 0.8100908398628235, 0.8630263805389404, 0.8075186610221863, 0.8397520184516907, 0.7775973081588745, 0.6938799619674683, 0.7672957181930542, 0.8700340390205383, 0.8084595799446106, 0.6637312173843384, 0.7756497263908386, 0.6932612061500549, 0.8252265453338623, 0.8909159898757935, 0.7503113150596619, 0.7961658239364624, 0.785847008228302, 0.7735694050788879, 0.7724677920341492, 0.8321800827980042, 0.836896538734436, 0.871535062789917, 0.7942858338356018]	1	all	24
