n_task	metric	cos_err	iteration	roi	parcels	n_parcel
3	random	[0.8474688529968262, 0.8472020030021667, 0.9055920243263245, 0.840593159198761, 0.8682736158370972, 0.8438518643379211, 0.7796821594238281, 0.7714347243309021, 0.9290982484817505, 0.9045357704162598, 0.7890245914459229, 0.8995440602302551, 0.8649581074714661, 0.8609870076179504, 0.8776790499687195, 0.8421854376792908, 0.880253791809082, 0.8650491833686829, 0.9275383353233337, 0.8789055347442627, 0.8597854375839233, 0.8934759497642517, 0.9606064558029175, 0.8557836413383484]	0	Non-Visual Cortex (Everything except visual)	4, 3b, 1, 2, 3a, 5m, 5mv, 5L, 6a, 6d, 6v, 6mp, 6ma, 6r, FEF, PEF, SCEF, 8Av, 8Ad, 8BM, 8BL, 8C, AIP, MIP, VIP, LIPd, LIPv, 7Pm, 7m, 7AL, 7Am, 7PC, IP0, IP1, IP2, PF, PFm, PFop, PFt, PGi, PGs, PGp, PFcm, p24, p24pr, 24dd, 24dv, a24, a24pr, 33pr, p32pr, a32pr, d32, s32, p32, 25, 9m, 9p, 9a, 9-46d, 46, a9-46v, p9-46v, 44, 45, 47l, 47s, 47m, a47r, p47r, IFJa, IFJp, IFSp, IFSa, 55b, 10r, 10v, 10d, a10p, p10p, 10pp, 11l, 13l, OFC, pOFC, AAIC, AVI, FOP1, FOP2, FOP3, FOP4, FOP5, MI, PoI1, PoI2, PI, RI, Ig, A1, A4, A5, TA2, PBelt, MBelt, LBelt, STGa, STSdp, STSda, STSvp, STSva, PSL, SFL, TGd, TGv, TE1a, TE1p, TE1m, TE2a, TE2p, TF, PHT, PH, TPOJ1, TPOJ2, TPOJ3, PGi, PGs, PGp, IP0, ProS, d23ab, v23ab, 23c, 23d, 31a, 31pd, 31pv, H, EC, PHA1, PHA2, PHA3, PeEc, PH, PreS	145
3	variance	[0.8591606020927429, 0.8557295203208923, 0.9250090718269348, 0.8349652290344238, 0.8610517382621765, 0.8623583912849426, 0.8240045309066772, 0.8117493391036987, 0.8625341057777405, 0.9107607007026672, 0.8285678029060364, 0.916765034198761, 0.8525813221931458, 0.8643100261688232, 0.9022119045257568, 0.8314195275306702, 0.8363302946090698, 0.867006778717041, 0.8994405269622803, 0.8720118403434753, 0.8292810320854187, 0.881930947303772, 0.9350569248199463, 0.8449059724807739]	0	Non-Visual Cortex (Everything except visual)	4, 3b, 1, 2, 3a, 5m, 5mv, 5L, 6a, 6d, 6v, 6mp, 6ma, 6r, FEF, PEF, SCEF, 8Av, 8Ad, 8BM, 8BL, 8C, AIP, MIP, VIP, LIPd, LIPv, 7Pm, 7m, 7AL, 7Am, 7PC, IP0, IP1, IP2, PF, PFm, PFop, PFt, PGi, PGs, PGp, PFcm, p24, p24pr, 24dd, 24dv, a24, a24pr, 33pr, p32pr, a32pr, d32, s32, p32, 25, 9m, 9p, 9a, 9-46d, 46, a9-46v, p9-46v, 44, 45, 47l, 47s, 47m, a47r, p47r, IFJa, IFJp, IFSp, IFSa, 55b, 10r, 10v, 10d, a10p, p10p, 10pp, 11l, 13l, OFC, pOFC, AAIC, AVI, FOP1, FOP2, FOP3, FOP4, FOP5, MI, PoI1, PoI2, PI, RI, Ig, A1, A4, A5, TA2, PBelt, MBelt, LBelt, STGa, STSdp, STSda, STSvp, STSva, PSL, SFL, TGd, TGv, TE1a, TE1p, TE1m, TE2a, TE2p, TF, PHT, PH, TPOJ1, TPOJ2, TPOJ3, PGi, PGs, PGp, IP0, ProS, d23ab, v23ab, 23c, 23d, 31a, 31pd, 31pv, H, EC, PHA1, PHA2, PHA3, PeEc, PH, PreS	145
3	variance_mc	[0.8247166275978088, 0.8187968730926514, 0.878067135810852, 0.7790337800979614, 0.8366836905479431, 0.8224948048591614, 0.755240261554718, 0.773719847202301, 0.866699755191803, 0.8605889678001404, 0.7472555041313171, 0.8597534894943237, 0.7995547652244568, 0.8147882223129272, 0.8621615171432495, 0.7945281267166138, 0.7888707518577576, 0.8315225839614868, 0.9122756123542786, 0.8351746797561646, 0.7972983717918396, 0.8580817580223083, 0.9014602303504944, 0.8139174580574036]	0	Non-Visual Cortex (Everything except visual)	4, 3b, 1, 2, 3a, 5m, 5mv, 5L, 6a, 6d, 6v, 6mp, 6ma, 6r, FEF, PEF, SCEF, 8Av, 8Ad, 8BM, 8BL, 8C, AIP, MIP, VIP, LIPd, LIPv, 7Pm, 7m, 7AL, 7Am, 7PC, IP0, IP1, IP2, PF, PFm, PFop, PFt, PGi, PGs, PGp, PFcm, p24, p24pr, 24dd, 24dv, a24, a24pr, 33pr, p32pr, a32pr, d32, s32, p32, 25, 9m, 9p, 9a, 9-46d, 46, a9-46v, p9-46v, 44, 45, 47l, 47s, 47m, a47r, p47r, IFJa, IFJp, IFSp, IFSa, 55b, 10r, 10v, 10d, a10p, p10p, 10pp, 11l, 13l, OFC, pOFC, AAIC, AVI, FOP1, FOP2, FOP3, FOP4, FOP5, MI, PoI1, PoI2, PI, RI, Ig, A1, A4, A5, TA2, PBelt, MBelt, LBelt, STGa, STSdp, STSda, STSvp, STSva, PSL, SFL, TGd, TGv, TE1a, TE1p, TE1m, TE2a, TE2p, TF, PHT, PH, TPOJ1, TPOJ2, TPOJ3, PGi, PGs, PGp, IP0, ProS, d23ab, v23ab, 23c, 23d, 31a, 31pd, 31pv, H, EC, PHA1, PHA2, PHA3, PeEc, PH, PreS	145
3	log_det_mc	[0.8243063688278198, 0.8174659609794617, 0.8801853656768799, 0.7843418121337891, 0.840085506439209, 0.8176066875457764, 0.758222758769989, 0.7662595510482788, 0.8668361306190491, 0.8523643016815186, 0.7455024719238281, 0.877764105796814, 0.7974333167076111, 0.8139411211013794, 0.8710170984268188, 0.7969237565994263, 0.7821322083473206, 0.8348197340965271, 0.9024032950401306, 0.8334072828292847, 0.7974401712417603, 0.8565609455108643, 0.8996183276176453, 0.822493314743042]	0	Non-Visual Cortex (Everything except visual)	4, 3b, 1, 2, 3a, 5m, 5mv, 5L, 6a, 6d, 6v, 6mp, 6ma, 6r, FEF, PEF, SCEF, 8Av, 8Ad, 8BM, 8BL, 8C, AIP, MIP, VIP, LIPd, LIPv, 7Pm, 7m, 7AL, 7Am, 7PC, IP0, IP1, IP2, PF, PFm, PFop, PFt, PGi, PGs, PGp, PFcm, p24, p24pr, 24dd, 24dv, a24, a24pr, 33pr, p32pr, a32pr, d32, s32, p32, 25, 9m, 9p, 9a, 9-46d, 46, a9-46v, p9-46v, 44, 45, 47l, 47s, 47m, a47r, p47r, IFJa, IFJp, IFSp, IFSa, 55b, 10r, 10v, 10d, a10p, p10p, 10pp, 11l, 13l, OFC, pOFC, AAIC, AVI, FOP1, FOP2, FOP3, FOP4, FOP5, MI, PoI1, PoI2, PI, RI, Ig, A1, A4, A5, TA2, PBelt, MBelt, LBelt, STGa, STSdp, STSda, STSvp, STSva, PSL, SFL, TGd, TGv, TE1a, TE1p, TE1m, TE2a, TE2p, TF, PHT, PH, TPOJ1, TPOJ2, TPOJ3, PGi, PGs, PGp, IP0, ProS, d23ab, v23ab, 23c, 23d, 31a, 31pd, 31pv, H, EC, PHA1, PHA2, PHA3, PeEc, PH, PreS	145
3	inverse_trace_mc	[0.8241184949874878, 0.8151631355285645, 0.8787083029747009, 0.7883854508399963, 0.8340702652931213, 0.8136683106422424, 0.7529876232147217, 0.7728790640830994, 0.8651297092437744, 0.8508905172348022, 0.7432235479354858, 0.8659452795982361, 0.7951725721359253, 0.8106311559677124, 0.8734870553016663, 0.7958141565322876, 0.7765868902206421, 0.8276078104972839, 0.9007897973060608, 0.8276827931404114, 0.7954726219177246, 0.856243371963501, 0.8937234878540039, 0.8135125637054443]	0	Non-Visual Cortex (Everything except visual)	4, 3b, 1, 2, 3a, 5m, 5mv, 5L, 6a, 6d, 6v, 6mp, 6ma, 6r, FEF, PEF, SCEF, 8Av, 8Ad, 8BM, 8BL, 8C, AIP, MIP, VIP, LIPd, LIPv, 7Pm, 7m, 7AL, 7Am, 7PC, IP0, IP1, IP2, PF, PFm, PFop, PFt, PGi, PGs, PGp, PFcm, p24, p24pr, 24dd, 24dv, a24, a24pr, 33pr, p32pr, a32pr, d32, s32, p32, 25, 9m, 9p, 9a, 9-46d, 46, a9-46v, p9-46v, 44, 45, 47l, 47s, 47m, a47r, p47r, IFJa, IFJp, IFSp, IFSa, 55b, 10r, 10v, 10d, a10p, p10p, 10pp, 11l, 13l, OFC, pOFC, AAIC, AVI, FOP1, FOP2, FOP3, FOP4, FOP5, MI, PoI1, PoI2, PI, RI, Ig, A1, A4, A5, TA2, PBelt, MBelt, LBelt, STGa, STSdp, STSda, STSvp, STSva, PSL, SFL, TGd, TGv, TE1a, TE1p, TE1m, TE2a, TE2p, TF, PHT, PH, TPOJ1, TPOJ2, TPOJ3, PGi, PGs, PGp, IP0, ProS, d23ab, v23ab, 23c, 23d, 31a, 31pd, 31pv, H, EC, PHA1, PHA2, PHA3, PeEc, PH, PreS	145
3	random	[0.8661350011825562, 0.9057349562644958, 0.9163848757743835, 0.8437780141830444, 0.9000952839851379, 0.9041920900344849, 0.8425799608230591, 0.8591470122337341, 0.9035754799842834, 0.8945509195327759, 0.8061441779136658, 0.910293698310852, 0.8535221815109253, 0.8782507181167603, 0.9036201238632202, 0.8544124364852905, 0.8617035746574402, 0.8730131387710571, 0.9189013242721558, 0.8563249111175537, 0.8688331246376038, 0.9108197093009949, 0.9498714208602905, 0.8666771650314331]	1	Non-Visual Cortex (Everything except visual)	4, 3b, 1, 2, 3a, 5m, 5mv, 5L, 6a, 6d, 6v, 6mp, 6ma, 6r, FEF, PEF, SCEF, 8Av, 8Ad, 8BM, 8BL, 8C, AIP, MIP, VIP, LIPd, LIPv, 7Pm, 7m, 7AL, 7Am, 7PC, IP0, IP1, IP2, PF, PFm, PFop, PFt, PGi, PGs, PGp, PFcm, p24, p24pr, 24dd, 24dv, a24, a24pr, 33pr, p32pr, a32pr, d32, s32, p32, 25, 9m, 9p, 9a, 9-46d, 46, a9-46v, p9-46v, 44, 45, 47l, 47s, 47m, a47r, p47r, IFJa, IFJp, IFSp, IFSa, 55b, 10r, 10v, 10d, a10p, p10p, 10pp, 11l, 13l, OFC, pOFC, AAIC, AVI, FOP1, FOP2, FOP3, FOP4, FOP5, MI, PoI1, PoI2, PI, RI, Ig, A1, A4, A5, TA2, PBelt, MBelt, LBelt, STGa, STSdp, STSda, STSvp, STSva, PSL, SFL, TGd, TGv, TE1a, TE1p, TE1m, TE2a, TE2p, TF, PHT, PH, TPOJ1, TPOJ2, TPOJ3, PGi, PGs, PGp, IP0, ProS, d23ab, v23ab, 23c, 23d, 31a, 31pd, 31pv, H, EC, PHA1, PHA2, PHA3, PeEc, PH, PreS	145
3	variance	[0.8390654921531677, 0.8537538647651672, 0.90058833360672, 0.8274881839752197, 0.8704615831375122, 0.8569828271865845, 0.8079034686088562, 0.7926382422447205, 0.8510037660598755, 0.8888194561004639, 0.7855201363563538, 0.8976602554321289, 0.8355568051338196, 0.839500367641449, 0.8729777932167053, 0.840869665145874, 0.8003133535385132, 0.8387324213981628, 0.898009181022644, 0.8657312989234924, 0.8320040702819824, 0.893750786781311, 0.9279700517654419, 0.8445849418640137]	1	Non-Visual Cortex (Everything except visual)	4, 3b, 1, 2, 3a, 5m, 5mv, 5L, 6a, 6d, 6v, 6mp, 6ma, 6r, FEF, PEF, SCEF, 8Av, 8Ad, 8BM, 8BL, 8C, AIP, MIP, VIP, LIPd, LIPv, 7Pm, 7m, 7AL, 7Am, 7PC, IP0, IP1, IP2, PF, PFm, PFop, PFt, PGi, PGs, PGp, PFcm, p24, p24pr, 24dd, 24dv, a24, a24pr, 33pr, p32pr, a32pr, d32, s32, p32, 25, 9m, 9p, 9a, 9-46d, 46, a9-46v, p9-46v, 44, 45, 47l, 47s, 47m, a47r, p47r, IFJa, IFJp, IFSp, IFSa, 55b, 10r, 10v, 10d, a10p, p10p, 10pp, 11l, 13l, OFC, pOFC, AAIC, AVI, FOP1, FOP2, FOP3, FOP4, FOP5, MI, PoI1, PoI2, PI, RI, Ig, A1, A4, A5, TA2, PBelt, MBelt, LBelt, STGa, STSdp, STSda, STSvp, STSva, PSL, SFL, TGd, TGv, TE1a, TE1p, TE1m, TE2a, TE2p, TF, PHT, PH, TPOJ1, TPOJ2, TPOJ3, PGi, PGs, PGp, IP0, ProS, d23ab, v23ab, 23c, 23d, 31a, 31pd, 31pv, H, EC, PHA1, PHA2, PHA3, PeEc, PH, PreS	145
3	variance_mc	[0.8225585222244263, 0.8199577331542969, 0.8804867267608643, 0.7861459851264954, 0.8569515943527222, 0.8124994039535522, 0.7574827075004578, 0.760936439037323, 0.881518542766571, 0.8571066856384277, 0.7477013468742371, 0.8788064122200012, 0.7966752052307129, 0.8188974857330322, 0.8809159994125366, 0.7994218468666077, 0.7994911670684814, 0.8347193598747253, 0.8982371687889099, 0.8301107883453369, 0.8066633939743042, 0.8635908365249634, 0.8993386626243591, 0.8266248106956482]	1	Non-Visual Cortex (Everything except visual)	4, 3b, 1, 2, 3a, 5m, 5mv, 5L, 6a, 6d, 6v, 6mp, 6ma, 6r, FEF, PEF, SCEF, 8Av, 8Ad, 8BM, 8BL, 8C, AIP, MIP, VIP, LIPd, LIPv, 7Pm, 7m, 7AL, 7Am, 7PC, IP0, IP1, IP2, PF, PFm, PFop, PFt, PGi, PGs, PGp, PFcm, p24, p24pr, 24dd, 24dv, a24, a24pr, 33pr, p32pr, a32pr, d32, s32, p32, 25, 9m, 9p, 9a, 9-46d, 46, a9-46v, p9-46v, 44, 45, 47l, 47s, 47m, a47r, p47r, IFJa, IFJp, IFSp, IFSa, 55b, 10r, 10v, 10d, a10p, p10p, 10pp, 11l, 13l, OFC, pOFC, AAIC, AVI, FOP1, FOP2, FOP3, FOP4, FOP5, MI, PoI1, PoI2, PI, RI, Ig, A1, A4, A5, TA2, PBelt, MBelt, LBelt, STGa, STSdp, STSda, STSvp, STSva, PSL, SFL, TGd, TGv, TE1a, TE1p, TE1m, TE2a, TE2p, TF, PHT, PH, TPOJ1, TPOJ2, TPOJ3, PGi, PGs, PGp, IP0, ProS, d23ab, v23ab, 23c, 23d, 31a, 31pd, 31pv, H, EC, PHA1, PHA2, PHA3, PeEc, PH, PreS	145
3	log_det_mc	[0.8232677578926086, 0.8141335844993591, 0.881891667842865, 0.800703763961792, 0.8607428073883057, 0.7994102835655212, 0.7564544677734375, 0.7749120593070984, 0.8737869262695312, 0.8581441044807434, 0.7684890031814575, 0.8777996897697449, 0.83929044008255, 0.8131618499755859, 0.8619863986968994, 0.8055742383003235, 0.8168697953224182, 0.8261333107948303, 0.8919439911842346, 0.835539698600769, 0.800223708152771, 0.8470099568367004, 0.9190149903297424, 0.8466808199882507]	1	Non-Visual Cortex (Everything except visual)	4, 3b, 1, 2, 3a, 5m, 5mv, 5L, 6a, 6d, 6v, 6mp, 6ma, 6r, FEF, PEF, SCEF, 8Av, 8Ad, 8BM, 8BL, 8C, AIP, MIP, VIP, LIPd, LIPv, 7Pm, 7m, 7AL, 7Am, 7PC, IP0, IP1, IP2, PF, PFm, PFop, PFt, PGi, PGs, PGp, PFcm, p24, p24pr, 24dd, 24dv, a24, a24pr, 33pr, p32pr, a32pr, d32, s32, p32, 25, 9m, 9p, 9a, 9-46d, 46, a9-46v, p9-46v, 44, 45, 47l, 47s, 47m, a47r, p47r, IFJa, IFJp, IFSp, IFSa, 55b, 10r, 10v, 10d, a10p, p10p, 10pp, 11l, 13l, OFC, pOFC, AAIC, AVI, FOP1, FOP2, FOP3, FOP4, FOP5, MI, PoI1, PoI2, PI, RI, Ig, A1, A4, A5, TA2, PBelt, MBelt, LBelt, STGa, STSdp, STSda, STSvp, STSva, PSL, SFL, TGd, TGv, TE1a, TE1p, TE1m, TE2a, TE2p, TF, PHT, PH, TPOJ1, TPOJ2, TPOJ3, PGi, PGs, PGp, IP0, ProS, d23ab, v23ab, 23c, 23d, 31a, 31pd, 31pv, H, EC, PHA1, PHA2, PHA3, PeEc, PH, PreS	145
3	inverse_trace_mc	[0.8316758275032043, 0.8268020749092102, 0.885061502456665, 0.79595947265625, 0.8572571277618408, 0.8169659376144409, 0.7586297988891602, 0.7787249088287354, 0.875492513179779, 0.8610169887542725, 0.7586607336997986, 0.8801079988479614, 0.8325511813163757, 0.8166845440864563, 0.8705691695213318, 0.8134434819221497, 0.8057988882064819, 0.8277008533477783, 0.9192537069320679, 0.8393046259880066, 0.8003284931182861, 0.8533395528793335, 0.9125540852546692, 0.833587646484375]	1	Non-Visual Cortex (Everything except visual)	4, 3b, 1, 2, 3a, 5m, 5mv, 5L, 6a, 6d, 6v, 6mp, 6ma, 6r, FEF, PEF, SCEF, 8Av, 8Ad, 8BM, 8BL, 8C, AIP, MIP, VIP, LIPd, LIPv, 7Pm, 7m, 7AL, 7Am, 7PC, IP0, IP1, IP2, PF, PFm, PFop, PFt, PGi, PGs, PGp, PFcm, p24, p24pr, 24dd, 24dv, a24, a24pr, 33pr, p32pr, a32pr, d32, s32, p32, 25, 9m, 9p, 9a, 9-46d, 46, a9-46v, p9-46v, 44, 45, 47l, 47s, 47m, a47r, p47r, IFJa, IFJp, IFSp, IFSa, 55b, 10r, 10v, 10d, a10p, p10p, 10pp, 11l, 13l, OFC, pOFC, AAIC, AVI, FOP1, FOP2, FOP3, FOP4, FOP5, MI, PoI1, PoI2, PI, RI, Ig, A1, A4, A5, TA2, PBelt, MBelt, LBelt, STGa, STSdp, STSda, STSvp, STSva, PSL, SFL, TGd, TGv, TE1a, TE1p, TE1m, TE2a, TE2p, TF, PHT, PH, TPOJ1, TPOJ2, TPOJ3, PGi, PGs, PGp, IP0, ProS, d23ab, v23ab, 23c, 23d, 31a, 31pd, 31pv, H, EC, PHA1, PHA2, PHA3, PeEc, PH, PreS	145
