n_task	metric	accuracy
3	random	0.695027863334436
3	variance	0.8741714745185925
3	variance_mc	0.8732915958415266
3	log_det_mc	0.8847450134562553
3	inverse_trace_mc	0.8561202933693857
3	random	0.8058772238942074
3	variance	0.7922329374140138
3	variance_mc	0.7949678188360607
3	log_det_mc	0.7809261352439579
3	inverse_trace_mc	0.7751774858538213
3	random	0.8131243168952882
3	variance	0.8476991035104944
3	variance_mc	0.8463527068808485
3	log_det_mc	0.8413339150092366
3	inverse_trace_mc	0.8653615993166485
3	random	0.7311361618051508
3	variance	0.6486074196729672
3	variance_mc	0.8154502954442222
3	log_det_mc	0.6727713656001422
3	inverse_trace_mc	0.6815088026519037
3	random	0.7947481733919886
3	variance	0.6999514702596504
3	variance_mc	0.7999082257212741
3	log_det_mc	0.8069669842347813
3	inverse_trace_mc	0.8427646278018894
3	random	0.6437686982991241
3	variance	0.9244165015320074
3	variance_mc	0.6802593923772191
3	log_det_mc	0.7320273549413778
3	inverse_trace_mc	0.7464648457352298
3	random	0.6175774492751542
3	variance	0.7662837584053047
3	variance_mc	0.8160325866350387
3	log_det_mc	0.8122722131022719
3	inverse_trace_mc	0.7867815560604118
3	random	0.6565058956048011
3	variance	0.6938174713828285
3	variance_mc	0.8290860925354071
3	log_det_mc	0.887346062502664
3	inverse_trace_mc	0.9110248704468664
3	random	0.5583483347698917
3	variance	0.5376601483656338
3	variance_mc	0.7775148686071829
3	log_det_mc	0.5256235246120463
3	inverse_trace_mc	0.5263000754054215
3	random	0.6774468602313253
3	variance	0.7444407838119237
3	variance_mc	0.7187853369254692
3	log_det_mc	0.8335752697584056
3	inverse_trace_mc	0.8134406214932508
3	random	0.7525596920295675
3	variance	0.8471234439558786
3	variance_mc	0.7015935095676836
3	log_det_mc	0.8108240215913455
3	inverse_trace_mc	0.7995874080778278
3	random	0.5139676713958647
3	variance	0.5202819885563666
3	variance_mc	0.711801959003781
3	log_det_mc	0.7151884229254607
3	inverse_trace_mc	0.7428124264106513
3	random	0.5880989550261122
3	variance	0.713880386265349
3	variance_mc	0.6341233750200491
3	log_det_mc	0.6512766701443421
3	inverse_trace_mc	0.6243581553573918
3	random	0.8208755048343804
3	variance	0.8539164217667484
3	variance_mc	0.6293005443145785
3	log_det_mc	0.8955101886533158
3	inverse_trace_mc	0.8656943781003638
3	random	0.6480869388731215
3	variance	0.706943167678544
3	variance_mc	0.7151461643807239
