n_task	metric	correlation
3	random	0.4075464315387433
3	variance	0.5018654310573935
3	variance_mc	0.5300077884433573
3	log_det_mc	0.5294331314771829
3	inverse_trace_mc	0.5620544145195956
3	random	0.3680728460845967
3	variance	0.5759882650846024
3	variance_mc	0.5754198084057062
3	log_det_mc	0.5807956934211705
3	inverse_trace_mc	0.5777946800458617
3	random	0.4489021795628399
3	variance	0.5400078215860032
3	variance_mc	0.5802613620408237
3	log_det_mc	0.578442549515958
3	inverse_trace_mc	0.5803925069553125
3	random	0.4910300464814725
3	variance	0.5048176929839434
3	variance_mc	0.5108849706701751
3	log_det_mc	0.5205566418122344
3	inverse_trace_mc	0.5134911466561255
3	random	0.38817030468798697
3	variance	0.5105599615591521
3	variance_mc	0.5143471186258279
3	log_det_mc	0.5334449595742716
3	inverse_trace_mc	0.5341238736237984
3	random	0.48618684663282863
3	variance	0.4972369191256248
3	variance_mc	0.5180103812561263
3	log_det_mc	0.5367463305263545
3	inverse_trace_mc	0.5536893253140622
3	random	0.43814627575533627
3	variance	0.5092389345693437
3	variance_mc	0.5053427439237468
3	log_det_mc	0.5185107422365907
3	inverse_trace_mc	0.49139849902113913
3	random	0.3468009163056376
3	variance	0.577439555880337
3	variance_mc	0.587852479850972
3	log_det_mc	0.5739409051311037
3	inverse_trace_mc	0.5919825582384902
3	random	0.3590085059537737
3	variance	0.5071458401553238
3	variance_mc	0.5101399141499985
3	log_det_mc	0.49823461686513676
3	inverse_trace_mc	0.5083235761527701
3	random	0.44744274182609384
3	variance	0.5345649082449274
3	variance_mc	0.48485536010197133
3	log_det_mc	0.543654798747912
3	inverse_trace_mc	0.5447046483373279
3	random	0.4934355590294381
3	variance	0.49349333730636835
3	variance_mc	0.4686039880260991
3	log_det_mc	0.5598483412585534
3	inverse_trace_mc	0.5673215652436396
3	random	0.39455613079404345
3	variance	0.5148094946461559
3	variance_mc	0.5170042290425355
3	log_det_mc	0.5259690537612043
3	inverse_trace_mc	0.5358063634914201
3	random	0.5244547940501011
3	variance	0.5268828209990101
3	variance_mc	0.5085421088750904
3	log_det_mc	0.5172891317395485
3	inverse_trace_mc	0.4634499843530446
3	random	0.4827983056372182
3	variance	0.5077837995966853
3	variance_mc	0.4334731702847314
3	log_det_mc	0.5236347393502765
3	inverse_trace_mc	0.5170033586619769
3	random	0.387053247480662
3	variance	0.4880989049657184
3	variance_mc	0.48768702828749605
3	log_det_mc	0.48259692434217577
3	inverse_trace_mc	0.44445556399522995
3	random	0.406971124661028
3	variance	0.5277224791185001
3	variance_mc	0.45628539748086544
3	log_det_mc	0.5121095772034516
3	inverse_trace_mc	0.509171427905652
3	random	0.3061703797862026
3	variance	0.5681231456232726
3	variance_mc	0.4919858043453111
3	log_det_mc	0.560860737116754
3	inverse_trace_mc	0.5634689401026723
3	random	0.5239312841268652
3	variance	0.544864236052106
3	variance_mc	0.61090612213066
3	log_det_mc	0.5966768153041958
3	inverse_trace_mc	0.6265762568498959
3	random	0.48543150576282296
3	variance	0.41039141919843014
3	variance_mc	0.4568919458590443
3	log_det_mc	0.42118187550453445
3	inverse_trace_mc	0.41253515628967036
3	random	0.37648710751888437
3	variance	0.5298500747909741
3	variance_mc	0.4882668347330185
3	log_det_mc	0.4933028201143455
3	inverse_trace_mc	0.49806092254091133
3	random	0.38632665187799137
3	variance	0.49530720231490194
3	variance_mc	0.47709820693419364
3	log_det_mc	0.4644697037849803
3	inverse_trace_mc	0.4892840819625757
3	random	0.44124122147474376
3	variance	0.44869362323649375
3	variance_mc	0.4310324125287432
3	log_det_mc	0.5877133645503916
3	inverse_trace_mc	0.5737678727571953
3	random	0.24810269796988854
3	variance	0.5115159715634899
3	variance_mc	0.5574132928284954
