offset	max_var	min_est	log_det	combination	has_repeats	dcbc
1e-06	0.024106190775241284	1002687.5762566244	-48.52994180629089	(4, 15, 8, 23, 18, 23, 24, 0)	1	0.05371576547622681
0.001	0.031099190775241283	2620.702218829282	-39.58378516667715	(4, 15, 8, 23, 18, 23, 24, 0)	1	0.05371576547622681
0.1	0.7240991907752413	67.72222847468666	-15.883861788459527	(4, 15, 8, 23, 18, 23, 24, 0)	1	0.05371576547622681
1e-06	0.012451147746139687	2006102.6473003463	-59.69565956348152	(8, 11, 11, 7, 22, 24, 11, 4)	1	0.04249505698680878
0.001	0.019444147746139687	3946.621037736491	-42.82092075425192	(8, 11, 11, 7, 22, 24, 11, 4)	1	0.04249505698680878
0.1	0.7124441477461397	68.7996544905101	-15.995888366637955	(8, 11, 11, 7, 22, 24, 11, 4)	1	0.04249505698680878
1e-06	0.019637111795406566	1003754.2480818686	-50.31241494732814	(16, 13, 28, 3, 9, 3, 24, 1)	1	0.046589188277721405
0.001	0.02663011179540657	2989.0248823207785	-40.759698827892805	(16, 13, 28, 3, 9, 3, 24, 1)	1	0.046589188277721405
0.1	0.7196301117954066	68.1383030953458	-15.926972286125137	(16, 13, 28, 3, 9, 3, 24, 1)	1	0.046589188277721405
1e-06	0.0203841793382242	3001997.1728767613	-64.61369299631131	(0, 9, 17, 19, 2, 19, 2, 17)	1	0.04563182219862938
0.001	0.0273771793382242	4155.9840750460135	-42.40361070602732	(0, 9, 17, 19, 2, 19, 2, 17)	1	0.04563182219862938
0.1	0.7203771793382242	68.14817161362018	-15.923989410954759	(0, 9, 17, 19, 2, 19, 2, 17)	1	0.04563182219862938
1e-06	0.016149856133832803	10125.983631951347	-46.268841071798455	(12, 27, 21, 14, 9, 26, 17, 15)	0	0.042991410940885544
0.001	0.02314285613383281	3061.327892027784	-41.30998589672356	(12, 27, 21, 14, 9, 26, 17, 15)	0	0.042991410940885544
0.1	0.7161428561338328	68.44812404589587	-15.959836474604511	(12, 27, 21, 14, 9, 26, 17, 15)	0	0.042991410940885544
1e-06	0.013010491838189446	1004467.1194046362	-51.96690262720948	(21, 7, 21, 4, 14, 24, 0, 25)	1	0.03903644531965256
0.001	0.02000349183818945	3273.746153113393	-41.976629324555105	(21, 7, 21, 4, 14, 24, 0, 25)	1	0.03903644531965256
0.1	0.7130034918381895	68.73656032824815	-15.989926391507305	(21, 7, 21, 4, 14, 24, 0, 25)	1	0.03903644531965256
1e-06	0.01850576612139541	1004535.0372388333	-51.311828880030745	(4, 17, 7, 4, 16, 2, 21, 0)	1	0.047184210270643234
0.001	0.02549876612139541	3236.325923290043	-41.319635971297046	(4, 17, 7, 4, 16, 2, 21, 0)	1	0.047184210270643234
0.1	0.7184987661213954	68.25202327402155	-15.938323825563211	(4, 17, 7, 4, 16, 2, 21, 0)	1	0.047184210270643234
1e-06	0.021430004576787287	1003424.6497433471	-49.71764651476269	(2, 8, 2, 11, 21, 18, 4, 20)	1	0.048109859228134155
0.001	0.028423004576787286	2861.5491737338466	-40.36732196655289	(2, 8, 2, 11, 21, 18, 4, 20)	1	0.048109859228134155
0.1	0.7214230045767873	67.98110455918557	-15.910200145441506	(2, 8, 2, 11, 21, 18, 4, 20)	1	0.048109859228134155
1e-06	0.01635125770427378	2007127.2776332425	-59.964410992549595	(7, 26, 20, 20, 26, 13, 27, 4)	1	0.043321382254362106
0.001	0.02334425770427378	4089.9594290692908	-42.72020549754201	(7, 26, 20, 20, 26, 13, 27, 4)	1	0.043321382254362106
0.1	0.7163442577042738	68.47804167560916	-15.960447623089873	(7, 26, 20, 20, 26, 13, 27, 4)	1	0.043321382254362106
1e-06	0.01945658674702704	12519.533463811884	-45.70352449808749	(2, 11, 6, 21, 0, 1, 13, 3)	0	0.03988746926188469
0.001	0.026449586747027038	2931.6956879432037	-40.60440174918468	(2, 11, 6, 21, 0, 1, 13, 3)	0	0.03988746926188469
