n_task	metric	accuracy
3	random	0.5884564576770653
3	variance	0.5265188418222204
3	variance_mc	0.6749473684210526
3	log_det_mc	0.7176016739848964
3	inverse_trace_mc	0.6597996597996598
3	random	0.5459281410502996
3	variance	0.770164650092922
3	variance_mc	0.8462928102987612
3	log_det_mc	0.8588034903179536
3	inverse_trace_mc	0.6800056262747028
3	random	0.7233544938189108
3	variance	0.7187707726133865
3	variance_mc	0.7020689655172414
3	log_det_mc	0.6994170512509108
3	inverse_trace_mc	0.8176271070886809
3	random	0.7611569853467615
3	variance	0.7594198969910545
3	variance_mc	0.5574635810892201
3	log_det_mc	0.5910549640874128
3	inverse_trace_mc	0.6171163800654117
3	random	0.7873267414469166
3	variance	0.7564862861378799
3	variance_mc	0.674034977123716
3	log_det_mc	0.6457847993575625
3	inverse_trace_mc	0.6635552718300868
3	random	0.5678900889662191
3	variance	0.7727203158958034
3	variance_mc	0.6440338700912787
3	log_det_mc	0.7492545405258878
3	inverse_trace_mc	0.843635148680254
3	random	0.6621615118224221
3	variance	0.6207392801202185
3	variance_mc	0.6425152858900979
3	log_det_mc	0.6455043506284242
3	inverse_trace_mc	0.5953067348019399
3	random	0.7394710053658621
3	variance	0.6363973313565604
3	variance_mc	0.7936514741710177
3	log_det_mc	0.786527514231499
3	inverse_trace_mc	0.8074005897291677
3	random	0.8676912796525225
3	variance	0.7266202158537775
3	variance_mc	0.7369849288189371
3	log_det_mc	0.7903563941299789
3	inverse_trace_mc	0.7661118158770615
3	random	0.6412073995767477
3	variance	0.4986522911051213
3	variance_mc	0.6137707419416365
3	log_det_mc	0.7007163644083558
3	inverse_trace_mc	0.5264562665620726
3	random	0.6478354860955067
3	variance	0.5775749674054759
3	variance_mc	0.5809200153580969
3	log_det_mc	0.5993069092484298
3	inverse_trace_mc	0.565381284702766
3	random	0.6043835521047317
3	variance	0.7957957521886158
3	variance_mc	0.6694113685757139
3	log_det_mc	0.6861195070913741
3	inverse_trace_mc	0.6340672483245436
3	random	0.8483066591672206
3	variance	0.6892265193370166
3	variance_mc	0.7219748868819392
3	log_det_mc	0.7097449205361094
3	inverse_trace_mc	0.7117350058526529
3	random	0.7719365417589186
3	variance	0.7928421052631579
3	variance_mc	0.8263639984070091
3	log_det_mc	0.8512697773131634
3	inverse_trace_mc	0.7257191082354596
3	random	0.5482778091473743
3	variance	0.7222026865461706
3	variance_mc	0.6666666666666667
3	log_det_mc	0.685107254904614
3	inverse_trace_mc	0.7304657551750575
3	random	0.7429571171396931
3	variance	0.8502279497687586
3	variance_mc	0.8162918162918162
3	log_det_mc	0.8347056842878571
3	inverse_trace_mc	0.8673218673218673
3	random	0.8095703978056918
3	variance	0.7601559533892117
3	variance_mc	0.6887199751930095
3	log_det_mc	0.6733380802116659
3	inverse_trace_mc	0.7925295261220695
3	random	0.712999177802196
3	variance	0.7708674304418985
3	variance_mc	0.6025374192335653
3	log_det_mc	0.7749490118855054
3	inverse_trace_mc	0.8047755484675352
3	random	0.690322455579769
3	variance	0.8075863868274582
3	variance_mc	0.8251333781343639
3	log_det_mc	0.7811527345486883
3	inverse_trace_mc	0.7698213778615788
3	random	0.6946046827281982
3	variance	0.7385022076688194
3	variance_mc	0.8124706985466479
3	log_det_mc	0.8200000000000001
3	inverse_trace_mc	0.8297872340425532
3	random	0.802582155523332
3	variance	0.8188374540623544
3	variance_mc	0.7460414855720885
3	log_det_mc	0.7924777924777925
3	inverse_trace_mc	0.7768702733686241
3	random	0.9028866117473713
3	variance	0.6192796919927872
3	variance_mc	0.8888888888888888
3	log_det_mc	0.8924217069089171
3	inverse_trace_mc	0.8688889552952426
3	random	0.5643564356435643
3	variance	0.646162641573572
3	variance_mc	0.5699802116718411
3	log_det_mc	0.5960528470935588
3	inverse_trace_mc	0.6380617839204228
3	random	0.7640330542346729
3	variance	0.6684048930259759
3	variance_mc	0.619315453734824
3	log_det_mc	0.719911343211076
3	inverse_trace_mc	0.6840277777777778
3	random	0.597692834268019
3	variance	0.7677313577847948
3	variance_mc	0.8453562036815683
3	log_det_mc	0.8400000000000001
3	inverse_trace_mc	0.558529906892875
3	random	0.6215277777777778
3	variance	0.6747287892278897
3	variance_mc	0.6074606117770411
3	log_det_mc	0.7781197704996414
3	inverse_trace_mc	0.7717258586823804
3	random	0.7185807922485039
3	variance	0.7643156424581006
3	variance_mc	0.5353786505963167
3	log_det_mc	0.6925168806687372
3	inverse_trace_mc	0.8212720836468511
3	random	0.839367540219174
3	variance	0.7464788732394366
3	variance_mc	0.8823362419316281
3	log_det_mc	0.8909909276320416
3	inverse_trace_mc	0.8765666361684179
3	random	0.7611569853467615
3	variance	0.7972958004415924
3	variance_mc	0.7538504817497714
3	log_det_mc	0.7604166666666667
3	inverse_trace_mc	0.8217515877312278
3	random	0.7236939196504073
3	variance	0.6690915320927314
3	variance_mc	0.7359215309692022
3	log_det_mc	0.7381686254898643
3	inverse_trace_mc	0.6914285714285715
3	random	0.8713232904844224
3	variance	0.7533883471799967
3	variance_mc	0.7406268643017759
3	log_det_mc	0.7545008183306056
3	inverse_trace_mc	0.8147132610283869
3	random	0.7579560735096369
3	variance	0.7153159992408427
3	variance_mc	0.6758335708178969
3	log_det_mc	0.6990251662900454
3	inverse_trace_mc	0.6761692413866327
3	random	0.7412067253698791
3	variance	0.8131949592290586
3	variance_mc	0.6240639804391015
3	log_det_mc	0.6288659793814433
3	inverse_trace_mc	0.640013748218661
3	random	0.6299273285546916
3	variance	0.7963533753810055
3	variance_mc	0.7968257369371576
3	log_det_mc	0.7886497064579256
3	inverse_trace_mc	0.6239143920595533
3	random	0.7396404347802052
3	variance	0.8010837506001783
3	variance_mc	0.7074798363991275
3	log_det_mc	0.799088034382152
3	inverse_trace_mc	0.8027247289192909
3	random	0.6245306633291614
3	variance	0.5917798676419366
3	variance_mc	0.8092692472912988
3	log_det_mc	0.8209311579785117
3	inverse_trace_mc	0.7903668868231439
3	random	0.5164327285176309
3	variance	0.48706207864073886
3	variance_mc	0.7243306239540999
3	log_det_mc	0.7219279661016949
3	inverse_trace_mc	0.747226739224936
3	random	0.6168201995131497
3	variance	0.6394002657050674
3	variance_mc	0.6254089285862933
3	log_det_mc	0.6265473640310136
3	inverse_trace_mc	0.5871001487148686
3	random	0.72627536624869
3	variance	0.5937421186131651
3	variance_mc	0.8737252527341067
3	log_det_mc	0.8940677966101696
