task_code	cond_code	dataset_source	cond_id
gng	ngo	['MDTB-s1']	0
gng	go	['MDTB-s1']	1
tom	task	['MDTB-s1', 'MDTB-s2', 'Language-localizer']	2
actobserv	action	['MDTB-s1', 'MDTB-s2', 'Language-localizer']	3
actobserv	knot	['MDTB-s1', 'MDTB-s2', 'Language-localizer']	4
affect	unpleasant	['MDTB-s1']	5
affect	pleasant	['MDTB-s1']	6
arith	math	['MDTB-s1']	7
arith	digitjudgement	['MDTB-s1']	8
checkbrd	task	['MDTB-s1']	9
emotface	sad	['MDTB-s1']	10
emotface	happy	['MDTB-s1']	11
intrval	task	['MDTB-s1']	12
mtrimgry	task	['MDTB-s1']	13
fingr	simple	['MDTB-s1', 'MDTB-s2']	14
fingr	sequence	['MDTB-s1', 'MDTB-s2', 'Language-localizer']	15
nbckverb	2bcknrep	['MDTB-s1']	16
nbckverb	2bckrep	['MDTB-s1']	17
nbckpic	2bcknrep	['MDTB-s1', 'MDTB-s2']	18
nbckpic	2bckrep	['MDTB-s1', 'MDTB-s2']	19
spatialnav	task	['MDTB-s1', 'MDTB-s2', 'Language-localizer']	20
stroop	incon	['MDTB-s1']	21
stroop	con	['MDTB-s1']	22
vrbgen	generate	['MDTB-s1', 'MDTB-s2', 'Language-localizer']	23
vrbgen	read	['MDTB-s1', 'MDTB-s2', 'Language-localizer']	24
vissearch	small	['MDTB-s1', 'MDTB-s2']	25
vissearch	med	['MDTB-s1', 'MDTB-s2']	26
vissearch	large	['MDTB-s1', 'MDTB-s2']	27
rest	task	['MDTB-s1', 'MDTB-s2', 'Language-localizer']	28
cpro	task	['MDTB-s2']	29
sntncpredict	nviolation	['MDTB-s2']	30
sntncpredict	violation	['MDTB-s2']	31
sntncpredict	scrambeled	['MDTB-s2']	32
sptialmap	easy	['MDTB-s2']	33
sptialmap	med	['MDTB-s2']	34
sptialmap	diff	['MDTB-s2']	35
movie	nature	['MDTB-s2']	36
movie	romance	['MDTB-s2', 'Language-localizer']	37
movie	landscape	['MDTB-s2']	38
mntalrot	easy	['MDTB-s2']	39
mntalrot	med	['MDTB-s2']	40
mntalrot	diff	['MDTB-s2']	41
biomotion	normal	['MDTB-s2']	42
biomotion	scrambeled	['MDTB-s2']	43
respalt	easy	['MDTB-s2']	44
respalt	med	['MDTB-s2']	45
respalt	diff	['MDTB-s2']	46
hcpemotion	faces	['HCPur100-task2']	47
hcpemotion	shapes	['HCPur100-task2']	48
hcpgamble	punish	['HCPur100-task2']	49
hcpgamble	reward	['HCPur100-task2']	50
hcplanguage	math	['HCPur100-task2']	51
hcplanguage	story	['HCPur100-task2']	52
motor	cue	['HCPur100-task2']	53
motor	lfoot	['HCPur100-task2']	54
motor	lhand	['HCPur100-task2']	55
motor	rfoot	['HCPur100-task2']	56
motor	rhand	['HCPur100-task2']	57
motor	tongue	['HCPur100-task2', 'Language-localizer']	58
hcprelation	match	['HCPur100-task2']	59
hcprelation	rel	['HCPur100-task2']	60
hcpsocial	random	['HCPur100-task2']	61
hcpsocial	tom	['HCPur100-task2']	62
hcpwm	2bckbody	['HCPur100-task2']	63
hcpwm	2bckface	['HCPur100-task2']	64
hcpwm	2bckplace	['HCPur100-task2']	65
hcpwm	2bcktool	['HCPur100-task2']	66
hcpwm	0bckbody	['HCPur100-task2']	67
hcpwm	0bckface	['HCPur100-task2']	68
hcpwm	0bckplace	['HCPur100-task2']	69
hcpwm	0bcktool	['HCPur100-task2']	70
pssglisten	intact	['Language-localizer']	71
pssglisten	degraded	['Language-localizer']	72
audnarrative	task	['Language-localizer']	73
nbckpic	2bck	['Language-localizer']	74
oddball	task	['Language-localizer']	75
dmndgrid	g12s3b2	['Language-localizer']	76
read	sentence	['Language-localizer']	77
read	noword	['Language-localizer']	78
